code,name,name_en,lat,lon,type,country
30077,重庆西,Chongqing W.,29.503728,106.433378,station,cr
47066,沙坪坝,Shapingba,29.556784,106.457283,station,cr
37646,贵阳,Guiyang,26.560400,106.698660,station,cr
47483,贵阳北,Guiyang N.,26.623156,106.670656,station,cr
65501,贵安,Gui'an,26.469122,106.481856,station,cr
65476,花溪大学城,Huaxi University Town,26.397133,106.622192,station,cr
35624,镇远,Zhenyuan,27.038084,108.405681,station,cr
46543,成都东,Chengdu E.,30.631450,104.140165,station,cr
47675,成都南,Chengdu S.,30.607803,104.066034,station,cr
47675,成都西,Chengdu W.,30.687917,103.977501,station,cr
47621,双流机场,Shuangliu Airport,30.571910,103.954297,station,cr
46063,都江堰,Dujiangyan,30.960216,103.637000,station,cr
46042,犀浦,Xipu,30.759841,103.970208,station,cr
47607,广汉北,Guanghan N.,31.011319,104.272993,station,cr
45587,黄龙九寨,Huanglong Jiuzhai,32.747465,103.612973,station,cr
46140,西昌西,Xichang W.,27.871463,102.160204,station,cr
46158,攀枝花南,Panzhihua S.,26.471606,101.746480,station,cr
46545,资阳北,Ziyang N.,30.128504,104.679853,station,cr
46219,雅安,Yaan,30.031900,103.054333,station,cr
47737,峨眉山,E'mei Mountain,29.578584,103.464646,station,cr
47635,乐山,Leshan,29.604572,103.709666,station,cr
48197,昆明,Kunming,25.017766,102.720356,station,cr
48778,昆明南,Kunming S.,24.873557,102.860110,station,cr
48647,普洱,Pu'er,22.778273,100.940768,station,cr
48417,丽江,Lijiang,26.814220,100.251512,station,cr
49534,香格里拉,Shangri-La,27.813351,99.688547,station,cr
39629,宝鸡,Baoji,34.374616,107.148467,station,cr
45713,汉中,Hanzhong,33.092590,107.025408,station,cr
41492,兰州西,Lanzhou W.,36.069222,103.749730,station,cr
39701,天水,Tianshui,34.566714,105.894849,station,cr
38988,天水南,Tianshui S.,34.549947,105.854066,station,cr
14846,银川,Yinchuan,38.490755,106.170352,station,cr
43787,格尔木,Golmud,36.383439,94.906191,station,cr
41521,海东西,Haidong W.,36.509383,102.052982,station,cr
44083,拉萨,Lhasa,29.625868,91.068171,station,cr
43936,日喀则,Shigatse,29.224193,88.913010,station,cr
O01,天王寺,Tennoji,34.647331,135.515242,station,jr
O11,大阪,Osaka,34.702221,135.495576,station,jr
O14,西九条,Nishi-Kujo,34.682271,135.466318,station,jr
O18,今宫,Imamia,34.653951,135.493028,station,jr
O19,新今宫,Shin-Imamia,34.649843,135.502195,station,jr
Q17,JR难波,JR Namba,34.666478,135.495326,station,jr
R54,和歌山,Wakayama,34.232202,135.191582,station,jr
A01,敦贺,Tsuruga,35.644882,136.076392,station,jr
A24,草津,,35.022560,135.961824,station,jr
A27,石山,Ishiyama,34.979931,135.900007,station,jr
A61,三宫,Sannomiya,34.694863,135.195082,station,jr
A30,山科,Yamashina,34.992633,135.817226,station,jr
A31,京都,Kyoto,34.985363,135.758775,station,jr
A63,神户,Kobe,34.67929,135.178289,station,jr
A85,姬路,Himeji,34.826887,134.690242,station,jr
E02,梅小路京都西,Umekoji-Kyoto Nishi,34.988649,135.743197,station,jr
E08,嵯峨岚山,Saga Arashiyama,35.018779,135.681415,station,jr
C01,柘植,,34.846851,136.255960,station,jr
Q39,加茂,Kamo,34.752709,135.869854,station,jr
Q36,JR奈良,JR Nara,34.680812,135.818943,station,jr
Q24,久宝寺,Kyuhoji,34.622444,135.584024,station,jr
032,关西空港,Kansai Airport,34.435868,135.243486,station,nk
447,加太,Kada,34.275105,135.080823,station,nk
045,和歌山市,Wakayamashi,34.236792,135.167051,station,nk
001,淀屋桥,Yodoyabashi,34.692486,135.501377,station,kh
040,三条,Sanjo,35.009015,135.772334,station,kh
A28,近铁奈良,KT Nara,34.684133,135.828556,station,kt
A02,近铁日本桥,KT Nippombashi,34.666901,135.505701,station,kt
001,大阪梅田,Osaka Umeda,34.705282,135.498392,station,hk
042,庄内,Shonai,34.750263,135.475038,station,hk
032,阪神三宫,HS Sannomiya,34.693665,135.195434,station,hs
A12,米原,,35.314809,136.290175,junction,jr
A03,近江盐津,,35.539110,136.151494,junction,jr
D19,木津,,34.735856,135.824919,junction,jr
HS09,阪神尼崎,,34.718591,135.417325,junction,hs
044,纪之川,,34.255191,135.165396,junction,nk
030,泉佐野,,34.411187,135.316983,junction,nk
16567,陆渡所,,31.476506,121.206389,junction,cr
31319,宣城,Xuancheng,30.949536,118.769130,junction,cr
34126,绩溪北,Jixi N.,30.073797,118.566754,junction,cr
45573,三星堆,Sanxingdui,30.943766,104.208086,junction,cr
503ae511,康山所,,30.818790,120.044329,junction,cr
c85ef475,妙西镇所,,30.797443,120.017234,junction,cr
66276,桐庐东,Tonglu E.,29.857599,119.760292,junction,cr
f77128ce,永嘉所,,28.072229,120.718614,junction,cr
32372,桐庐,Tonglu,29.790478,119.729569,junction,cr
20381,胜芳,Shengfang,39.137775,116.753448,junction,cr
21160,固安东,Gu'an E.,39.370921,116.398003,junction,cr
16555,南通西,Nantong W.,32.103157,120.760711,junction,cr
d5c7787f,高辛庄所,,39.925177,116.725417,junction,cr
1036923d,北刘各庄所,,39.933754,116.761143,junction,cr
47609,青白江东,Qingbaijiang E.,30.896903,104.223226,junction,cr
352d5dea,龙形村所,,27.495965,109.961417,junction,cr
1f97993f,沙堤所,,29.196936,110.439738,junction,cr
26777,张家界西,Zhangjiajie W.,29.116602,110.497768,junction,cr
4eb13889,黄金园所,,28.277995,112.781419,junction,cr
65678,怀化南,Huaihua S.,27.515508,109.988987,junction,cr
f1f7e412,凤凰西所,,18.309082,109.366121,junction,cr
454ca49b,崖州湾,Yazhou Bay,18.354942,109.180836,junction,cr
37580,龙里,Longli,26.451631,106.968905,junction,cr
45c67dbe,秦祺村所,,26.499658,106.784258,junction,cr
H05,广州莲花山,Guangzhou Lianhuashan,23.004813,113.486935,junction,gi
D01,番禺,Panyu,22.989839,113.267643,junction,gi
65201,长沙西,Changsha W.,28.265408,112.820446,junction,cr
2108bd63,长阳村所,,39.771151,116.175211,junction,cr
20369,柳辛庄,Liuxinzhuang,38.099931,114.503890,junction,cr
21059,汉西,Hanxi,30.593617,114.222257,junction,cr
21089,武昌南,Wuchang S.,30.473889,114.296903,junction,cr
1cfdd7a5,黄土坡所,,39.768604,116.279925,junction,cr
10091,汉沟镇,Hangou,39.298274,117.102822,junction,cr
16283,桥南所,,36.704278,116.827011,junction,cr
16319,党家庄,Dangjiazhuang,36.578649,116.897840,junction,cr
16628,徐州,Xuzhou,34.266126,117.202226,junction,cr
16802,林场,Linchang,32.162457,118.675223,junction,cr
30566,黄渡,Huangdu,31.295703,121.235915,junction,cr
16292,北园,Beiyuan,36.690379,116.997805,junction,cr
38702,商丘,Shangqiu,34.447534,115.652543,junction,cr
38810,圃田西,Putian W.,34.734952,113.694233,junction,cr
39872,兰州,Lanzhou,36.035735,103.848009,junction,cr
24890,商丘南,Shangqiu S.,34.409376,115.699022,junction,cr
25067,阜阳北,Fuyang N.,33.019200,115.862414,junction,cr
25104,阜阳,Fuyang,32.916619,115.861746,junction,cr
25322,九江,Jiujiang,29.706467,116.001822,junction,cr
25324,九江西,Jiujiang W.,29.644494,115.888598,junction,cr
25397,乐化,Lehua,28.817378,115.865901,junction,cr
25454,向塘,Xiangtang,28.446298,115.956186,junction,cr
25487,三江镇,Sanjiangzhen,28.311867,115.976545,junction,cr
12158,北京东,Beijing E.,39.901533,116.478422,junction,cr
11159,唐山北,Tangshan N.,39.816639,118.111845,junction,cr
10328,龙家营,Langjiaying,39.962669,119.675464,junction,cr
32045,封浜,Fengbang,31.258430,121.284308,junction,cr
32075,七宝,Qibao,31.160707,121.323608,junction,cr
32076,李家塘,Lijiatang,31.113415,121.356107,junction,cr
32081,春申,Chunshen,31.081086,121.349777,junction,cr
32198,笕桥,Jianqiao,30.331066,120.212347,junction,cr
32879,梁家渡,Liangjiadu,28.404634,115.997943,junction,cr
62665,东门,Dongmen,45.741982,126.716202,junction,cr
56663,榆树屯,Yushutun,47.153445,123.887819,junction,cr
